added_rors	removed_rors	works_examples	OpenAlex Approve?
	02hxmqn30	W4389132380;W4389132376;W4389132308;W4389132399;W4389132840;W4389132364;W438913240	Yes
	05fe7ax82	W4323892946;W4323892949;W4323892472;W4323892943;W4323892419;W4323892778;W4323892412;W4323892965;W432389221	Yes
	04ryqpf83	W3165033634;W3160513373;W3161741698;W429651086	Yes
	04ryqpf83	W3177377398;W4205937021;W4285300970;W4226193142;W428515846	Yes
04w1m5n60	03jmjy508	W309347289	Yes
04w1m5n60	03jmjy508	W3105705374;W3096456202;W309501473	Yes
04w1m5n60	03jmjy508	W302530624	Yes
04w1m5n60	03jmjy508	W438946039	Yes
04w1m5n60	03jmjy508	W431198310	Yes
04w1m5n60	03jmjy508	W431198310	Yes
04w1m5n60	03jmjy508	W431908280	Yes
04w1m5n60	03jmjy508	W431908280	Yes
01fmctt82	05fe7ax82	W308395189	Yes
01fmctt82;00m4rxj18	05fe7ax82	W4205920303;W4205602457;W4205618948;W4206638148;W4205451072;W420633506	Yes
01fmctt82;00m4rxj18	05fe7ax82	W4206198627;W420509161	Yes
01fmctt82	05fe7ax82	W424915384	Yes
01fmctt82	05fe7ax82	W3122389227;W428988756	Yes
01fmctt82	05fe7ax82	W319494183	Yes
01fmctt82	05fe7ax82	W3134094778;W313013247	Yes
01fmctt82	05fe7ax82;026tc4g97	W4389972357;W4389972377;W4390088609;W4390302731;W4390132712;W4390088597;W439013271	Yes
01fmctt82	05fe7ax82	W439124042	Yes
05hnb7x64		W3109133484;W3137760966;W3125021631;W4233340296;W3119429303;W3099149780;W313519367	Yes
05hnb7x64		W3137760966;W313519367	Yes
05hnb7x64	035a68863	W312846879	Yes
05hnb7x64		W299552986	Yes
05hnb7x64		W311022210	Yes
05hnb7x64		W3169911710;W420003562	Yes
05hnb7x64		W3196583509;W4200002541;W4200417460;W4200235869;W420056254	Yes
05hnb7x64	035a68863	W3184163600;W3194641070;W438976746	Yes
05hnb7x64		W4293441731;W430917306	Yes
05hnb7x64		W4280520091;W4292939765;W4292939767;W4292939766;W438876197	Yes
05hnb7x64		W4317940077;W432008221	Yes
	020cdve92	W4231922563;W4253321385;W4250494042;W4245091239;W4252535276;W4237590490;W4240653743;W4242261362;W4230093462;W4233693161	Yes
	020cdve92	W4231922563;W4253321385;W4250494042;W4245091239;W4252535276;W4237590490;W4240653743;W4242261362;W4230093462;W4233693161	Yes
	03qyehc05	W4323353274;W4378529700;W4384154923;W4362593055;W4379600307;W4367845910;W4385814245;W4387541794;W4289596409;W4386144470	Yes
	036cy3843	W4385584867;W4318244661;W4321505081;W4311134851;W4387117700;W4362712334;W4317905289;W4375955252;W4389037561;W4387531979	Yes
	036cy3843	W4385061307;W610656092;W4384198044;W4323924870;W4317500316;W4379966962	Yes
	00ygzyy93	W4379877674;W4366824126;W4387010146;W4388837853;W4361220159;W4388628084;W4384008901;W4386997930	Yes
	04q7nkm38	W4321503566;W4384161757;W4322746245;W4389564923;W4387435860;W4386090486;W4366548830;W4365150626;W4366283724	Yes
	036cy3843	W4317436786;W4317433928;W4317433318;W4317433689;W4327722753;W4383265395;W4317434221;W4317516946;W4387877599	Yes
	05a5k9h08	W4377839648;W4365446444;W4320856369;W4375865813;W4385185847;W4381051272;W4378976178;W4317479779;W4378348315;W4362717116	Yes
	04k9qym02	W4321113230;W4319662925;W4386791126;W4387302207;W4319082775	Yes
	04dhvqz48	W4318562039;W4361281967;W4385302219;W4383427805;W4319789181;W4324195515	Yes
	015aser35	W4319159103;W4319740307;W4353041982;W4297200736;W4319601239;W4388413627;W4320918112;W4323315908	Yes
	05vhwqa91	W4362619963;W4313456671;W4366082716;W4317910476;W4319786182;W4361218225;W4386739112	Yes
	02wn55517	W4319936681;W4313380968;W4360609564;W4365443178;W4367302143;W4381470647;W4377095851;W4322720400	Yes
	021ap3951	W4387445238;W4372298703;W4389761857;W4386549100;W4386549085;W4390051999	Yes
	00ygzyy93	W4311476109;W4367597794;W4387131694;W4367852446;W4388978692	Yes
	036cy3843	W4383682938;W4385753444;W4386446020;W4386179382;W4387362644;W4366596229;W4383682748;W4385319035;W4366598567	Yes
	02bkvx667	W4317254240;W4360951469;W4382794744;W4321477028;W4387678848;W4318953872;W4387678852;W4389246981;W4390887742	Yes
	00w7etd19	W4361009073;W4384029637;W4384575651;W4390143772;W4377232186;W4385491038;W4388577931;W4385875459;W4389131625	Yes
	05qbbf772	W4321369715;W4381197966;W4386617245;W4387104348;W4372215247;W4386594936	No
	036cy3843	W4307454581;W4309298482;W4385982940;W4387325135;W4389226878;W4377090808;W4317787937	Yes
	00ns6x030	W4317660889;W4316670345;W4316928491;W4361029962;W4322769182;W4317361221;W4381804408	Yes
	00w7etd19	W4386057325;W4386057334;W4386057337;W4387506149;W4386057363;W4386764224	Yes
	014vqg108	W4390330004;W4386390512;W4387342305;W4387979116;W4387980371;W4389444561;W4323981577;W4376287217;W4382864433	Yes
	01kvtm035	W4378678712;W4323056466;W4378678962;W4323056314;W4323056766;W4323056277;W4323056297;W4323056694;W4378651858	Yes
	0370sk906	W4380715218;W4380838805;W4380838949;W4380838793;W4380838953;W4380838963;W4380838981;W4380838985;W4380838994	Yes
	03ykbk197	W4387225202;W4387214666;W4387225261;W4387225295;W4387214712;W4387225223;W4387225292;W4387214792;W4387214874;W4387225312	Yes
	03w6f4808	W4389265500;W4389265435;W4389265437;W4389265485;W4389276366;W4389265461;W4389276404;W4389276506;W4389276408	Yes
	04mwe1m14;02scfj030	W4378804331;W3092652943;W3094014954;W3094183565;W3094613792;W3096948569;W3105608279;W3106670419;W3107384837;W3120874982	Yes
	02nwvxz07	W4384929768	Yes
	02nwvxz07;03s0gj002	W4380887129	Yes
	02nwvxz07	W4377012270	Yes
	02nwvxz07	W4375933572	Yes
	02nwvxz07;03s0gj002	W4226071543	Yes
	02nwvxz07	W4379932722	Yes
	0103yxp25;02nwvxz07	W4384201940	Yes
	0103yxp25;02nwvxz07	W4384201940	Yes
00p6sn362		W4309377121;W4311277679;W4387352343	Yes
00p6sn362		W4381885458;W4389131313;W4389891881	Yes
	00r8w8f84	W4361217559;W4380248845;W4380248683;W4380248940	No
	00r8w8f84	W4319440178	No
	00r8w8f84;01b8h3982;01t9czq80;017h2rd72	W4322486940	No
	00r8w8f84	W4322486940	No
	04cnscd67;04wbcfb93	W4361299089	No
